creationDate,fuelType,mainProvince,make,model,price,km,title,url,seller_name,seller_isProfessional,first_seen,last_seen
2026-01-05T14:21:34Z,Diésel,Madrid,BMW,X3,21450,230476,BMW X3 xDrive20d,https://www.coches.net/bmw-x3-xdrive20d-5p-diesel-2018-en-madrid-62345910-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2025-10-09T17:08:43Z,Diésel,Guipúzcoa,MERCEDES-BENZ,Clase T,43490,5000,MERCEDES-BENZ Clase T 180 d,https://www.coches.net/km-0/mercedes-benz/clase-t/guipuzcoa/180-d-diesel-de-km0-61683546-kovn.aspx,Mercedes-Benz Goiko-Auto,True,2026-02-23,2026-02-23
2025-07-10T12:32:29Z,Diésel,Guipúzcoa,MERCEDES-BENZ,Clase V,61490,27500,MERCEDES-BENZ Clase V 250 d Avantgarde Largo,https://www.coches.net/mercedes-benz-clase-v-250-d-avantgarde-largo-5p-diesel-2021-en-guipuzcoa-60999288-covo.aspx,Mercedes-Benz Goiko-Auto,True,2026-02-23,2026-02-23
2026-02-09T13:48:20Z,Diésel,Barcelona,JEEP,Renegade,13890,119000,JEEP Renegade 1.6 Mjet Longitude 4x2 E6,https://www.coches.net/jeep-renegade-16-mjet-longitude-4x2-e6-5p-diesel-2017-en-barcelona-62600747-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:48:20Z,Gasolina,Barcelona,KIA,ProCeed,14890,151000,KIA ProCeed 1.0 TGDi GT Line,https://www.coches.net/kia-proceed-10-tgdi-88kw-120cv-gt-line-5p-gasolina-2019-en-barcelona-62600746-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:48:19Z,Gasolina,Barcelona,KIA,Ceed Tourer,15390,74000,KIA Ceed Tourer Tourer 1.0 TGDi Tech,https://www.coches.net/kia-ceed-tourer-tourer-10-tgdi-88kw-120cv-tech-5p-gasolina-2019-en-barcelona-62600745-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:48:58Z,Diésel,Barcelona,LAND-ROVER,Discovery Sport,16990,113000,LAND-ROVER Discovery Sport 2.0L TD4 4x4 HSE,https://www.coches.net/land-rover-discovery-sport-20l-td4-110kw-150cv-4x4-hse-5p-diesel-2018-en-barcelona-62600757-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:49:28Z,Híbrido,Barcelona,LAND-ROVER,Range Rover Evoque,25990,65000,LAND-ROVER Range Rover Evoque 2.0 D163 AUTO 4WD MHEV,https://www.coches.net/land-rover-range-rover-evoque-20-d163-auto-4wd-mhev-5p-electrico-hibrido-2021-en-barcelona-62600761-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:50:36Z,Diésel,Barcelona,LAND-ROVER,Range Rover Evoque,18390,101000,LAND-ROVER Range Rover Evoque 2.0L TD4 4x4 Autobiography Auto,https://www.coches.net/land-rover-range-rover-evoque-20l-td4-132kw-4x4-autobiography-auto-5p-diesel-2018-en-barcelona-62600771-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:05:59Z,Diésel,Barcelona,RENAULT,Scénic,8990,170000,RENAULT Scénic Limited Energy dCi 130 eco2,https://www.coches.net/renault-scenic-limited-energy-dci-130-eco2-5p-diesel-2014-en-barcelona-62600918-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:05:58Z,Gas natural (CNG),Barcelona,SEAT,León,14690,126000,SEAT León 1.5 TGI SS FR Fast Edition,https://www.coches.net/seat-leon-15-tgi-96kw-130cv-ss-fr-fast-edition-5p-otros-2020-en-barcelona-62600915-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:05:59Z,Gasolina,Barcelona,SEAT,León,13890,63000,SEAT León ST 1.4 TSI StSp Style,https://www.coches.net/seat-leon-st-14-tsi-92kw-125cv-stsp-style-5p-gasolina-2018-en-barcelona-62600917-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:08:30Z,Diésel,Barcelona,VOLKSWAGEN,Caravelle,27990,142000,VOLKSWAGEN Caravelle Origin Corta 2.0 TDI BMT,https://www.coches.net/volkswagen-caravelle-origin-corta-20-tdi-81kw-110cv-bmt-4p-diesel-2022-en-barcelona-62600932-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-18T14:32:24Z,Diésel,Barcelona,PEUGEOT,3008,14490,112000,PEUGEOT 3008 2.0BLUEHDI 150 HP GT LINE SS,https://www.coches.net/peugeot-3008-20bluehdi-150-hp-gt-line-ss-5p-diesel-2016-en-barcelona-70001316-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2025-12-06T09:15:07Z,Gasolina,Barcelona,KIA,Carens,11990,110000,KIA Carens 1.6 GDi Drive,https://www.coches.net/kia-carens-16-gdi-99kw-135cv-drive-5p-gasolina-2017-en-barcelona-62159870-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2025-12-06T09:14:48Z,Diésel,Barcelona,DACIA,Dokker,12990,123000,DACIA Dokker Stepway dci,https://www.coches.net/dacia-dokker-stepway-dci-55kw-75cv-4p-diesel-2017-en-barcelona-62159864-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-01-03T18:41:59Z,Gasolina,Barcelona,TOYOTA,Auris,11990,128000,TOYOTA Auris 1.2 120T Active,https://www.coches.net/toyota-auris-12-120t-active-5p-gasolina-2017-en-barcelona-62339404-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-01-08T15:38:04Z,Diésel,Barcelona,AUDI,A4,21490,114000,AUDI A4 2.0 TDI quattro S tronic Avant,https://www.coches.net/audi-a4-20-tdi-140kw-quattro-s-tronic-avant-5p-diesel-2018-en-barcelona-62363439-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-01-08T15:38:03Z,Diésel,Barcelona,LAND-ROVER,Range Rover Evoque,21990,75000,LAND-ROVER Range Rover Evoque 2.0 D150 S FWD,https://www.coches.net/land-rover-range-rover-evoque-20-d150-s-fwd-5p-diesel-2020-en-barcelona-62363438-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:47:28Z,Diésel,Barcelona,FIAT,Doblò,12890,124000,FIAT Doblò Panorama Lounge Largo 1.6 Mjet E6,https://www.coches.net/fiat-doblo-panorama-lounge-largo-16-mjet-120cv-e6-5p-diesel-2015-en-barcelona-62600722-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:47:29Z,Gasolina,Barcelona,FORD,Fiesta,11990,77000,FORD Fiesta 1.0 EcoB. STLine SS AT,https://www.coches.net/ford-fiesta-10-ecob-92kw-125cv-stline-ss-at-5p-5p-gasolina-2020-en-barcelona-62600724-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:47:27Z,Híbrido,Barcelona,FORD,Focus,19490,61000,FORD Focus 1.0 Ecoboost MHEV Active X SB,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-active-x-sb-5p-electrico-hibrido-2022-en-barcelona-62600720-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:47:27Z,Gasolina,Barcelona,FORD,Grand C-Max,9790,100000,FORD Grand C-Max 1.0 EcoBoost Trend,https://www.coches.net/ford-grand-c-max-10-ecoboost-125cv-trend-5p-gasolina-2015-en-barcelona-62600721-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
